multiple_deliveries,Road_traffic_density,Delivery_person_Ratings,Delivery_person_Age,Vehicle_condition,actual,predicted,error,abs_error_MAE,sq_error_MSE
0.3333333333333333,0.0,0.9600000000000002,0.3157894736842104,0.0,18,20.5113,2.5113,2.5113,6.3066
0.3333333333333333,0.6666666666666667,0.8,0.1578947368421053,0.5,22,20.7677,-1.2323,1.2323,1.5185
1.0,1.0,0.8,0.894736842105263,0.5,44,45.1366,1.1366,1.1366,1.2918
0.0,1.0,0.9600000000000002,0.368421052631579,1.0,10,19.7995,9.7995,9.7995,96.0296
0.0,1.0,0.8800000000000001,0.0,1.0,26,20.2626,-5.7374,5.7374,32.9182
0.3333333333333333,0.0,0.7600000000000002,0.3157894736842104,0.0,27,21.792,-5.208,5.208,27.1234
0.3333333333333333,1.0,0.8,0.3157894736842104,0.0,25,30.7998,5.7998,5.7998,33.6377
0.3333333333333333,1.0,0.9600000000000002,0.368421052631579,0.0,29,31.8436,2.8436,2.8436,8.086
0.3333333333333333,0.0,0.9600000000000002,0.5263157894736843,0.5,26,19.8864,-6.1136,6.1136,37.3764
0.3333333333333333,0.0,0.8399999999999999,0.7894736842105263,0.0,25,26.9897,1.9897,1.9897,3.9588
0.0,0.0,0.6800000000000002,0.4210526315789473,0.0,25,22.2513,-2.7487,2.7487,7.5552
0.6666666666666666,0.3333333333333333,0.6000000000000001,0.631578947368421,0.0,47,40.0672,-6.9328,6.9328,48.064
0.3333333333333333,0.0,0.6800000000000002,0.1052631578947369,0.0,17,22.5838,5.5838,5.5838,31.1793
0.3333333333333333,0.0,0.8,0.9999999999999998,0.5,24,23.1941,-0.8059,0.8059,0.6494
0.3333333333333333,0.3333333333333333,0.6000000000000001,0.5263157894736843,0.5,31,35.5724,4.5724,4.5724,20.907
0.3333333333333333,0.6666666666666667,1.0,0.9999999999999998,1.0,33,29.0036,-3.9964,3.9964,15.9716
0.0,0.0,0.7600000000000002,0.8421052631578947,0.0,29,26.7541,-2.2459,2.2459,5.0439
0.0,0.3333333333333333,0.8399999999999999,0.0,1.0,26,19.4306,-6.5694,6.5694,43.1566
0.0,1.0,0.4400000000000001,0.631578947368421,1.0,34,37.0014,3.0014,3.0014,9.0082
0.0,1.0,0.9600000000000002,0.7894736842105263,0.0,31,36.9884,5.9884,5.9884,35.8605
0.3333333333333333,0.0,0.8800000000000001,0.4210526315789473,0.0,16,20.3072,4.3072,4.3072,18.552
0.0,0.0,0.8399999999999999,0.1052631578947369,0.0,17,19.5327,2.5327,2.5327,6.4145
0.3333333333333333,0.0,0.8800000000000001,0.0526315789473683,0.5,22,17.3542,-4.6458,4.6458,21.5835
0.0,0.3333333333333333,0.8800000000000001,0.9999999999999998,0.0,34,32.6946,-1.3054,1.3054,1.7041
0.0,0.3333333333333333,0.8399999999999999,0.368421052631579,0.5,24,17.8228,-6.1772,6.1772,38.1575
0.3333333333333333,1.0,0.8399999999999999,0.0526315789473683,1.0,15,22.668,7.668,7.668,58.7982
0.3333333333333333,0.0,0.8399999999999999,0.4736842105263157,0.5,16,18.7819,2.7819,2.7819,7.739
0.0,0.3333333333333333,0.92,0.2105263157894736,1.0,15,17.9901,2.9901,2.9901,8.9406
0.3333333333333333,0.3333333333333333,0.8800000000000001,0.0,1.0,28,22.0606,-5.9394,5.9394,35.2767
